County,Positive/Confirmed Cases,Deaths,fips
Adams,0,0,53001
Asotin,0,0,53003
Benton,7,2,53005
Chelan,3,0,53007
Clallam,4,0,53009
Clark,10,3,53011
Columbia,1,0,53013
Cowlitz,3,0,53015
Douglas,0,0,53017
Ferry,0,0,53019
Franklin,3,0,53021
Garfield,0,0,53023
Grant,18,1,53025
Grays Harbor,1,0,53027
Island,21,1,53029
Jefferson,6,0,53031
King,1040,75,53033
Kitsap,18,0,53035
Kittitas,4,0,53037
Klickitat,4,0,53039
Lewis,2,0,53041
Lincoln,1,0,53043
Mason,1,0,53045
Okanogan,0,0,53047
Pacific,0,0,53049
Pend Oreille,0,0,53051
Pierce,107,1,53053
San Juan,1,0,53055
Skagit,33,0,53057
Skamania,0,0,53059
Snohomish,480,10,53061
Spokane,20,0,53063
Stevens,1,0,53065
Thurston,11,0,53067
Wahkiakum,0,0,53069
Walla Walla,1,0,53071
Whatcom,14,2,53073
Whitman,0,0,53075
Yakima,16,0,53077
Unassigned,165,0,
